CheeseId,ManufacturerProvCode,ManufacturingTypeEn,MoisturePercent,FlavourEn,CharacteristicsEn,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,CheeseName,FatLevel,Community,Weather station,Location,Elevation,January(Avg. high °C (°F)),January(Avg. low °C (°F)),July(Avg. high °C (°F)),July(Avg. low °C (°F)),Annual(Avg. high °C (°F)),Annual(Avg. low °C (°F)),ProvinceCode
303,NB,Farmstead,47.0,Sharp with fruity notes and a hint of wild honey,Not specified,0,Veined Cheeses,Cow,Raw Milk,Not Specified,Geai Bleu (Le),lower fat,"Edmundston, NB",,47°20′47″N 068°11′16″W / 47.34639°N 68.18778°W / 47.34639; -68.18778 (Edmundston),163m (535ft),−7.1 (19.2),−18.5 (−1.3),24.7 (76.5),11.5 (52.7),9.5 (49.1),−2.3 (27.9),NB
303,NB,Farmstead,47.0,Sharp with fruity notes and a hint of wild honey,Not specified,0,Veined Cheeses,Cow,Raw Milk,Not Specified,Geai Bleu (Le),lower fat,"Fredericton, NB",YFC,45°52′20″N 066°31′40″W / 45.87222°N 66.52778°W / 45.87222; -66.52778 (Fredericton),21m (69ft),−3.8 (25.2),−15.0 (5.0),25.5 (77.9),13.0 (55.4),11.4 (52.5),−0.2 (31.6),NB
303,NB,Farmstead,47.0,Sharp with fruity notes and a hint of wild honey,Not specified,0,Veined Cheeses,Cow,Raw Milk,Not Specified,Geai Bleu (Le),lower fat,"Moncton, NB",YQM,46°06′19″N 064°41′02″W / 46.10528°N 64.68389°W / 46.10528; -64.68389 (Moncton),71m (233ft),−3.7 (25.3),−14.0 (6.8),24.7 (76.5),12.9 (55.2),10.7 (51.3),0.1 (32.2),NB
319,NB,Farmstead,49.4,Softer taste,Not specified,1,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Gamin (Le),lower fat,"Edmundston, NB",,47°20′47″N 068°11′16″W / 47.34639°N 68.18778°W / 47.34639; -68.18778 (Edmundston),163m (535ft),−7.1 (19.2),−18.5 (−1.3),24.7 (76.5),11.5 (52.7),9.5 (49.1),−2.3 (27.9),NB
319,NB,Farmstead,49.4,Softer taste,Not specified,1,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Gamin (Le),lower fat,"Fredericton, NB",YFC,45°52′20″N 066°31′40″W / 45.87222°N 66.52778°W / 45.87222; -66.52778 (Fredericton),21m (69ft),−3.8 (25.2),−15.0 (5.0),25.5 (77.9),13.0 (55.4),11.4 (52.5),−0.2 (31.6),NB
319,NB,Farmstead,49.4,Softer taste,Not specified,1,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Gamin (Le),lower fat,"Moncton, NB",YQM,46°06′19″N 064°41′02″W / 46.10528°N 64.68389°W / 46.10528; -64.68389 (Moncton),71m (233ft),−3.7 (25.3),−14.0 (6.8),24.7 (76.5),12.9 (55.2),10.7 (51.3),0.1 (32.2),NB
350,NB,Industrial,48.0,Not Specified,Classic fresh cooking cheeses,0,Fresh Cheese,Cow,Pasteurized,Not Specified,Paneer (Northumberland Co-operative),lower fat,"Edmundston, NB",,47°20′47″N 068°11′16″W / 47.34639°N 68.18778°W / 47.34639; -68.18778 (Edmundston),163m (535ft),−7.1 (19.2),−18.5 (−1.3),24.7 (76.5),11.5 (52.7),9.5 (49.1),−2.3 (27.9),NB
350,NB,Industrial,48.0,Not Specified,Classic fresh cooking cheeses,0,Fresh Cheese,Cow,Pasteurized,Not Specified,Paneer (Northumberland Co-operative),lower fat,"Fredericton, NB",YFC,45°52′20″N 066°31′40″W / 45.87222°N 66.52778°W / 45.87222; -66.52778 (Fredericton),21m (69ft),−3.8 (25.2),−15.0 (5.0),25.5 (77.9),13.0 (55.4),11.4 (52.5),−0.2 (31.6),NB
350,NB,Industrial,48.0,Not Specified,Classic fresh cooking cheeses,0,Fresh Cheese,Cow,Pasteurized,Not Specified,Paneer (Northumberland Co-operative),lower fat,"Moncton, NB",YQM,46°06′19″N 064°41′02″W / 46.10528°N 64.68389°W / 46.10528; -64.68389 (Moncton),71m (233ft),−3.7 (25.3),−14.0 (6.8),24.7 (76.5),12.9 (55.2),10.7 (51.3),0.1 (32.2),NB
374,ON,Industrial,52.0,"Rich, creamy, buttery, both subtle and tangy in taste",Not specified,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Goat Brie (Woolwich),lower fat,"Ottawa, ON",YOW,45°19′21″N 075°40′09″W / 45.32250°N 75.66917°W / 45.32250; -75.66917 (Ottawa),114m (374ft),−5.8 (21.6),−14.8 (5.4),26.5 (79.7),15.5 (59.9),11.3 (52.3),1.4 (34.5),ON
374,ON,Industrial,52.0,"Rich, creamy, buttery, both subtle and tangy in taste",Not specified,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Goat Brie (Woolwich),lower fat,"Timmins, ON",YTS,48°34′11″N 081°22′36″W / 48.56972°N 81.37667°W / 48.56972; -81.37667 (Timmins),295m (968ft),−10.6 (12.9),−23.0 (−9.4),24.2 (75.6),10.7 (51.3),7.9 (46.2),−4.3 (24.3),ON
374,ON,Industrial,52.0,"Rich, creamy, buttery, both subtle and tangy in taste",Not specified,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Goat Brie (Woolwich),lower fat,"Toronto, ON",YYZ,43°40′38″N 079°37′50″W / 43.67722°N 79.63056°W / 43.67722; -79.63056 (Toronto),173m (568ft),−1.5 (29.3),−9.4 (15.1),27.1 (80.8),15.8 (60.4),13.0 (55.4),3.3 (37.9),ON
374,ON,Industrial,52.0,"Rich, creamy, buttery, both subtle and tangy in taste",Not specified,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Goat Brie (Woolwich),lower fat,"Windsor, ON",YQG,42°16′32″N 82°57′20″W / 42.27556°N 82.95556°W / 42.27556; -82.95556 (Windsor),190m (620ft),−0.3 (31.5),−7.3 (18.9),28.1 (82.6),17.9 (64.2),14.4 (57.9),5.4 (41.7),ON
375,ON,Industrial,41.0,Mild,"Whitem, smooth, firm textured",0,Firm Cheese,Goat,Pasteurized,Not Specified,Goat Cheddar (Woolwich),lower fat,"Ottawa, ON",YOW,45°19′21″N 075°40′09″W / 45.32250°N 75.66917°W / 45.32250; -75.66917 (Ottawa),114m (374ft),−5.8 (21.6),−14.8 (5.4),26.5 (79.7),15.5 (59.9),11.3 (52.3),1.4 (34.5),ON
375,ON,Industrial,41.0,Mild,"Whitem, smooth, firm textured",0,Firm Cheese,Goat,Pasteurized,Not Specified,Goat Cheddar (Woolwich),lower fat,"Timmins, ON",YTS,48°34′11″N 081°22′36″W / 48.56972°N 81.37667°W / 48.56972; -81.37667 (Timmins),295m (968ft),−10.6 (12.9),−23.0 (−9.4),24.2 (75.6),10.7 (51.3),7.9 (46.2),−4.3 (24.3),ON
375,ON,Industrial,41.0,Mild,"Whitem, smooth, firm textured",0,Firm Cheese,Goat,Pasteurized,Not Specified,Goat Cheddar (Woolwich),lower fat,"Toronto, ON",YYZ,43°40′38″N 079°37′50″W / 43.67722°N 79.63056°W / 43.67722; -79.63056 (Toronto),173m (568ft),−1.5 (29.3),−9.4 (15.1),27.1 (80.8),15.8 (60.4),13.0 (55.4),3.3 (37.9),ON
375,ON,Industrial,41.0,Mild,"Whitem, smooth, firm textured",0,Firm Cheese,Goat,Pasteurized,Not Specified,Goat Cheddar (Woolwich),lower fat,"Windsor, ON",YQG,42°16′32″N 82°57′20″W / 42.27556°N 82.95556°W / 42.27556; -82.95556 (Windsor),190m (620ft),−0.3 (31.5),−7.3 (18.9),28.1 (82.6),17.9 (64.2),14.4 (57.9),5.4 (41.7),ON
376,ON,Industrial,50.0,Mild,Not specified,0,Semi-soft Cheese,Goat,Pasteurized,Not Specified,Goat Mozarella (Woolwich),lower fat,"Ottawa, ON",YOW,45°19′21″N 075°40′09″W / 45.32250°N 75.66917°W / 45.32250; -75.66917 (Ottawa),114m (374ft),−5.8 (21.6),−14.8 (5.4),26.5 (79.7),15.5 (59.9),11.3 (52.3),1.4 (34.5),ON
376,ON,Industrial,50.0,Mild,Not specified,0,Semi-soft Cheese,Goat,Pasteurized,Not Specified,Goat Mozarella (Woolwich),lower fat,"Timmins, ON",YTS,48°34′11″N 081°22′36″W / 48.56972°N 81.37667°W / 48.56972; -81.37667 (Timmins),295m (968ft),−10.6 (12.9),−23.0 (−9.4),24.2 (75.6),10.7 (51.3),7.9 (46.2),−4.3 (24.3),ON
376,ON,Industrial,50.0,Mild,Not specified,0,Semi-soft Cheese,Goat,Pasteurized,Not Specified,Goat Mozarella (Woolwich),lower fat,"Toronto, ON",YYZ,43°40′38″N 079°37′50″W / 43.67722°N 79.63056°W / 43.67722; -79.63056 (Toronto),173m (568ft),−1.5 (29.3),−9.4 (15.1),27.1 (80.8),15.8 (60.4),13.0 (55.4),3.3 (37.9),ON
376,ON,Industrial,50.0,Mild,Not specified,0,Semi-soft Cheese,Goat,Pasteurized,Not Specified,Goat Mozarella (Woolwich),lower fat,"Windsor, ON",YQG,42°16′32″N 82°57′20″W / 42.27556°N 82.95556°W / 42.27556; -82.95556 (Windsor),190m (620ft),−0.3 (31.5),−7.3 (18.9),28.1 (82.6),17.9 (64.2),14.4 (57.9),5.4 (41.7),ON
378,ON,Industrial,55.0,"Sharp, tangy, salty",With or without brine,0,Soft Cheese,Goat,Pasteurized,Not Specified,Goat Feta (Woolwich),lower fat,"Ottawa, ON",YOW,45°19′21″N 075°40′09″W / 45.32250°N 75.66917°W / 45.32250; -75.66917 (Ottawa),114m (374ft),−5.8 (21.6),−14.8 (5.4),26.5 (79.7),15.5 (59.9),11.3 (52.3),1.4 (34.5),ON
378,ON,Industrial,55.0,"Sharp, tangy, salty",With or without brine,0,Soft Cheese,Goat,Pasteurized,Not Specified,Goat Feta (Woolwich),lower fat,"Timmins, ON",YTS,48°34′11″N 081°22′36″W / 48.56972°N 81.37667°W / 48.56972; -81.37667 (Timmins),295m (968ft),−10.6 (12.9),−23.0 (−9.4),24.2 (75.6),10.7 (51.3),7.9 (46.2),−4.3 (24.3),ON
378,ON,Industrial,55.0,"Sharp, tangy, salty",With or without brine,0,Soft Cheese,Goat,Pasteurized,Not Specified,Goat Feta (Woolwich),lower fat,"Toronto, ON",YYZ,43°40′38″N 079°37′50″W / 43.67722°N 79.63056°W / 43.67722; -79.63056 (Toronto),173m (568ft),−1.5 (29.3),−9.4 (15.1),27.1 (80.8),15.8 (60.4),13.0 (55.4),3.3 (37.9),ON
378,ON,Industrial,55.0,"Sharp, tangy, salty",With or without brine,0,Soft Cheese,Goat,Pasteurized,Not Specified,Goat Feta (Woolwich),lower fat,"Windsor, ON",YQG,42°16′32″N 82°57′20″W / 42.27556°N 82.95556°W / 42.27556; -82.95556 (Windsor),190m (620ft),−0.3 (31.5),−7.3 (18.9),28.1 (82.6),17.9 (64.2),14.4 (57.9),5.4 (41.7),ON
379,ON,Industrial,57.0,Rich and creamy,Fresh cheese,0,Fresh Cheese,Goat,Pasteurized,Not Specified,Madame Chèvre Elite,lower fat,"Ottawa, ON",YOW,45°19′21″N 075°40′09″W / 45.32250°N 75.66917°W / 45.32250; -75.66917 (Ottawa),114m (374ft),−5.8 (21.6),−14.8 (5.4),26.5 (79.7),15.5 (59.9),11.3 (52.3),1.4 (34.5),ON
379,ON,Industrial,57.0,Rich and creamy,Fresh cheese,0,Fresh Cheese,Goat,Pasteurized,Not Specified,Madame Chèvre Elite,lower fat,"Timmins, ON",YTS,48°34′11″N 081°22′36″W / 48.56972°N 81.37667°W / 48.56972; -81.37667 (Timmins),295m (968ft),−10.6 (12.9),−23.0 (−9.4),24.2 (75.6),10.7 (51.3),7.9 (46.2),−4.3 (24.3),ON
379,ON,Industrial,57.0,Rich and creamy,Fresh cheese,0,Fresh Cheese,Goat,Pasteurized,Not Specified,Madame Chèvre Elite,lower fat,"Toronto, ON",YYZ,43°40′38″N 079°37′50″W / 43.67722°N 79.63056°W / 43.67722; -79.63056 (Toronto),173m (568ft),−1.5 (29.3),−9.4 (15.1),27.1 (80.8),15.8 (60.4),13.0 (55.4),3.3 (37.9),ON
379,ON,Industrial,57.0,Rich and creamy,Fresh cheese,0,Fresh Cheese,Goat,Pasteurized,Not Specified,Madame Chèvre Elite,lower fat,"Windsor, ON",YQG,42°16′32″N 82°57′20″W / 42.27556°N 82.95556°W / 42.27556; -82.95556 (Windsor),190m (620ft),−0.3 (31.5),−7.3 (18.9),28.1 (82.6),17.9 (64.2),14.4 (57.9),5.4 (41.7),ON
414,BC,Farmstead,34.0,Not Specified,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Gouda (Jerseyland Organic),higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
414,BC,Farmstead,34.0,Not Specified,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Gouda (Jerseyland Organic),higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
414,BC,Farmstead,34.0,Not Specified,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Gouda (Jerseyland Organic),higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
414,BC,Farmstead,34.0,Not Specified,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Gouda (Jerseyland Organic),higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
414,BC,Farmstead,34.0,Not Specified,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Gouda (Jerseyland Organic),higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
415,BC,Farmstead,34.0,Not Specified,Organic. No dye/colour added.  Made from Jersey Milk,1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Cheddar (Jerseyland Organic),higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
415,BC,Farmstead,34.0,Not Specified,Organic. No dye/colour added.  Made from Jersey Milk,1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Cheddar (Jerseyland Organic),higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
415,BC,Farmstead,34.0,Not Specified,Organic. No dye/colour added.  Made from Jersey Milk,1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Cheddar (Jerseyland Organic),higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
415,BC,Farmstead,34.0,Not Specified,Organic. No dye/colour added.  Made from Jersey Milk,1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Cheddar (Jerseyland Organic),higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
415,BC,Farmstead,34.0,Not Specified,Organic. No dye/colour added.  Made from Jersey Milk,1,Semi-soft Cheese,Cow,Raw Milk,Not Specified,Cheddar (Jerseyland Organic),higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
416,BC,Farmstead,33.0,Not Specified,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,1,Hard Cheese,Cow,Raw Milk,Not Specified,Grana (Jerseyland Organic),higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
416,BC,Farmstead,33.0,Not Specified,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,1,Hard Cheese,Cow,Raw Milk,Not Specified,Grana (Jerseyland Organic),higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
416,BC,Farmstead,33.0,Not Specified,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,1,Hard Cheese,Cow,Raw Milk,Not Specified,Grana (Jerseyland Organic),higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
416,BC,Farmstead,33.0,Not Specified,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,1,Hard Cheese,Cow,Raw Milk,Not Specified,Grana (Jerseyland Organic),higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
416,BC,Farmstead,33.0,Not Specified,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,1,Hard Cheese,Cow,Raw Milk,Not Specified,Grana (Jerseyland Organic),higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
417,BC,Farmstead,43.0,Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Organic. Made with Jersey milk,1,Soft Cheese,Cow,Raw Milk,Not Specified,Feta (Jerseyland Organic),higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
417,BC,Farmstead,43.0,Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Organic. Made with Jersey milk,1,Soft Cheese,Cow,Raw Milk,Not Specified,Feta (Jerseyland Organic),higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
417,BC,Farmstead,43.0,Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Organic. Made with Jersey milk,1,Soft Cheese,Cow,Raw Milk,Not Specified,Feta (Jerseyland Organic),higher fat,"Princeton, BC",CYDC,49°28′05″N 120°30′41″W / 49.46806°N 120.51139°W / 49.46806; -120.51139 (Princeton Airport),"700m (2,300ft)",−1.4 (29.5),−8.6 (16.5),26.3 (79.3),9.5 (49.1),12.9 (55.2),0.2 (32.4),BC
417,BC,Farmstead,43.0,Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Organic. Made with Jersey milk,1,Soft Cheese,Cow,Raw Milk,Not Specified,Feta (Jerseyland Organic),higher fat,"Vancouver, BC",YVR,49°11′42″N 123°10′55″W / 49.19500°N 123.18194°W / 49.19500; -123.18194 (Vancouver),4m (13ft),6.9 (44.4),1.4 (34.5),22.2 (72.0),13.7 (56.7),13.9 (57.0),6.8 (44.2),BC
417,BC,Farmstead,43.0,Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Organic. Made with Jersey milk,1,Soft Cheese,Cow,Raw Milk,Not Specified,Feta (Jerseyland Organic),higher fat,"Victoria, BC",YYJ,48°38′50″N 123°25′33″W / 48.64722°N 123.42583°W / 48.64722; -123.42583 (Victoria),20m (66ft),7.6 (45.7),1.5 (34.7),22.4 (72.3),11.3 (52.3),14.4 (57.9),5.6 (42.1),BC
418,BC,Farmstead,34.0,"Available : Plain , garlic and dill, mixed herbs",Organic,1,Semi-soft Cheese,Goat,Raw Milk,Not Specified,Udderly Organic Goat Gouda (Jerseyland Organic),higher fat,"Fort Nelson, BC",YYE,58°50′11″N 122°35′50″W / 58.83639°N 122.59722°W / 58.83639; -122.59722 (Fort Nelson),"382m (1,253ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2),BC
418,BC,Farmstead,34.0,"Available : Plain , garlic and dill, mixed herbs",Organic,1,Semi-soft Cheese,Goat,Raw Milk,Not Specified,Udderly Organic Goat Gouda (Jerseyland Organic),higher fat,"Kamloops, BC",YKA,50°42′08″N 120°26′31″W / 50.70222°N 120.44194°W / 50.70222; -120.44194 (Kamloops),"345.3m (1,133ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7),BC
